,pred_0,pred_D0,pred_D1,pred_D2,pred_D3,pred_D4
true_0,379714,6372,6773,6727,2415,624
true_D0,95792,10865,4532,6679,2883,947
true_D1,61264,13316,5778,8771,3568,1106
true_D2,40548,13532,6611,9601,3976,982
true_D3,21683,10132,5310,11123,2593,926
true_D4,5344,4053,3214,6179,1319,378
