,pred_0,pred_D0,pred_D1,pred_D2,pred_D3,pred_D4
true_0,295428,41223,16579,12346,23514,13535
true_D0,39453,34276,14502,8126,14812,10529
true_D1,16928,26391,15076,8714,15551,11143
true_D2,8528,18220,15811,8822,14602,9267
true_D3,4014,9445,11087,9959,10204,7058
true_D4,614,1925,4865,5695,4351,3037
