Model,Accuracy,Macro_F1,Weighted_F1,Recall_0,Recall_D0,Recall_D1,Recall_D2,Recall_D3,Recall_D4
rf_default,0.530403719812442,0.2230812793479462,0.46317821565005285,0.9081775846010556,0.13043764071718517,0.12730936110785368,0.12188704318936877,0.062182471458651266,0.011275442963830722
rf_class_weight_balanced,0.5278463487585388,0.2172266898296282,0.45584294811314396,0.9116473144986029,0.1122204144686026,0.11890877690478982,0.1148704318936877,0.06598798462340874,0.010348025577195295
lr_class_weight_balanced,0.49684312265715813,0.2891926609849078,0.5087507544173683,0.7473505122632723,0.2607602425676675,0.12297048068825091,0.29566777408637873,0.09716614831842679,0.43676477766388444
xgb_default,0.5341078588874522,0.20440801090297087,0.44811805084313794,0.9430959329400808,0.08927837762329702,0.061597177062567295,0.12758803986710965,0.05008982556454884,0.01845072484990482
xgb_sample_weight_balanced,0.47913874848164256,0.2642156912041363,0.4951988003731262,0.7337547345544861,0.281648013936137,0.1607198064027803,0.1172358803986711,0.19711399153901135,0.1482403475374628
