,pred_0,pred_D0,pred_D1,pred_D2,pred_D3,pred_D4
true_0,365655,16454,11202,6351,2614,349
true_D0,85824,15874,10276,6595,2603,526
true_D1,53527,15859,11942,8293,3530,652
true_D2,35931,14094,11479,9172,3918,656
true_D3,20609,9952,8450,9008,3219,529
true_D4,6023,3868,3672,4968,1725,231
