,pred_0,pred_D0,pred_D1,pred_D2,pred_D3,pred_D4
true_0,300902,48915,12907,12215,9680,18006
true_D0,42030,31734,10923,13577,8242,15192
true_D1,18445,21187,11535,16176,7798,18662
true_D2,6862,11216,9886,22249,7036,18001
true_D3,2176,4221,5448,18431,5030,16461
true_D4,329,521,1434,7286,1969,8948
